Traditional	Simplified	Pinyin	English	Zhuyin	Level
常	常	cháng	surname Chang; always, ever, often, frequently, common, general, constant		1
常常	常常	chángcháng	frequently; often		1
唱	唱	chàng	to sing, to call loudly, to chant		1
唱歌	唱歌	chànggē	to sing a song		1
車	车	chē	surname Che; car, vehicle, CL:輛|辆[liang4], machine, to shape with a lathe, Kangxi radical 159; war chariot (archaic), rook (in Chinese chess), rook (in chess)		1
車票	车票	chēpiào	ticket (for a bus or train)		1
車上	车上	chē shang			1
車站	车站	chēzhàn	rail station, bus stop, CL:處|处[chu4],個|个[ge4]		1
吃	吃	chī	to eat; to consume, to eat at (a cafeteria etc), to eradicate; to destroy, to absorb, to suffer (shock, injury, defeat etc); variant of 吃[chi1]		1
吃飯	吃饭	chīfàn	to have a meal, to eat, to make a living		1
出	出	chū	to go out; to come out, to arise; to occur, to produce; to yield, to go beyond; to exceed, (used after a verb to indicate an outward direction or a positive result), classifier for dramas, plays, operas etc; variant of 出[chu1] (classifier for plays or chapters of classical novels)		1
出來	出来	chūlái	to come out, to appear, to arise; (after a verb, indicates coming out, completion of an action, or ability to discern or detect)		1
出去	出去	chūqù	to go out		1
穿	穿	chuān	to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread		1
床	床	chuáng	bed; couch (furniture that one can lie down on) (CL:張|张[zhang1]), bed; bottom (of rivers, oceans, gardens etc), frame; chassis, classifier for blankets, quilts etc; variant of 床[chuang2]		1
次	次	cì	next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time		1
從	从	cóng	variant of 從|从[cong2]; surname Cong; from; through; via, (bound form) to follow, (bound form) to obey, (bound form) to engage in (an activity), (used before a negative) ever, (bound form) (Taiwan pr. [zong4]) retainer; attendant, (bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate, (bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor		1
錯	错	cuò	surname Cuo; mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver		1
打	打	dǎ	"(loanword) dozen, Taiwan pr. [da3]; a semantically light, transitive verb that is combined with various grammatical objects to form compound verbs and verb-object phrases with a diverse range of meanings (e.g. 打傘|打伞[da3 san3] ""to hold an umbrella"", 打電話|打电话[da3 dian4 hua4] ""to make a phone call"", 打針|打针[da3 zhen1] ""to get an injection"", 打手套[da3 shou3 tao4] ""to knit gloves"", 打氣|打气[da3 qi4] ""to inflate""), to hit; to strike, to fight, (coll.) from; since (as in 打那以後|打那以后[da3 na4 yi3 hou4] ""since then"")"		1
打車	打车	dǎchē	to take a taxi (in town), to hitch a lift		1
打電話	打电话	dǎ diànhuà	to make a telephone call		1
打開	打开	dǎkāi	to open, to show (a ticket), to turn on, to switch on		1
打球	打球	dǎ qiú	to play ball, to play with a ball		1
大	大	dà	big; large; great, older (than another person), eldest (as in 大姐[da4 jie3]), greatly; freely; fully, (dialect) father, (dialect) uncle (father's brother); see 大夫[dai4 fu5]		1
大學	大学	dàxué	the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism; university, college, CL:所[suo3]		1
大學生	大学生	dàxuéshēng	university student; college student		1
到	到	dào	to reach; to arrive, to leave for; to go to, to (a place); until (a time); up to (a point), (verb complement indicating arriving at a place or reaching a point), considerate; thoughtful; thorough		1
得到	得到	dédào	to get; to obtain; to receive		1
地	地	de	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; earth, ground, field, place, land, CL:片[pian4]		1
的	的	de	"of; ~'s (possessive particle), (used after an attribute when it modifies a noun), (used at the end of a declarative sentence for emphasis), (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] ""one made of leather"" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] ""a waiter (literally, one who runs back and forth in a restaurant)"" or 新的[xin1 de5] ""new one""), also pr. [di4] or [di5] in poetry and songs; a taxi; a cab (abbr. for 的士[di1 shi4]); really and truly"		1
等	等	děng	to wait for; to await, by the time; when; till, and so on; etc.; et al., (bound form) class; rank; grade, (bound form) equal to; same as, (used to end an enumeration), (literary) (plural suffix attached to a personal pronoun or noun)		1
地	地	dì	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; earth, ground, field, place, land, CL:片[pian4]		1
地點	地点	dìdiǎn	place, site, location, venue, CL:個|个[ge4]		1
地方	地方	dìfang	region, regional (away from the central administration), local; area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]		1
地上	地上	dìshang	on the ground, on the floor		1
地圖	地图	dìtú	map, CL:張|张[zhang1],本[ben3]		1
弟弟|弟	弟弟|弟	dìdi|dì			1
第（第二）	第（第二）	dì (dì-èr)			1
點	点	diǎn	to touch briefly; to tap, to mark with a dot; to check off (on a list), to order (food etc); to select, to mention; to bring up (a topic or person), to hint at; to imply, to administer (eye medicine etc) in drops, to light (a fire, a lamp etc); to ignite, to nod (one's head) in agreement; to beckon by moving (one's hand) up and down, point; dot; spot; speck, dot stroke in Chinese characters, (math.) decimal point, point in time or space, (after a number) o'clock, a small amount; a bit; (after a verb or adjective) a bit more, classifier for small amounts		1
電	电	diàn	lightning, electricity, electric (bound form), to get (or give) an electric shock, phone call or telegram etc, to send via telephone or telegram etc		1
電話	电话	diànhuà	telephone, CL:部[bu4], phone call, CL:通[tong1], phone number		1
電腦	电脑	diànnǎo	computer, CL:臺|台[tai2]		1
電視	电视	diànshì	television; TV, CL:臺|台[tai2],部[bu4]		1
電視機	电视机	diànshìjī	television set, CL:臺|台[tai2]		1
電影	电影	diànyǐng	movie; film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]		1
電影院	电影院	diànyǐngyuàn	cinema; movie theater, CL:家[jia1],座[zuo4]		1
東	东	dōng	surname Dong; east, host (i.e. sitting on east side of guest), landlord		1
東邊	东边	dōngbian	east, east side, eastern part, to the east of		1
東西	东西	dōngxi	east and west; thing, stuff, person, CL:個|个[ge4],件[jian4]		1
動	动	dòng	(of sth) to move, to set in movement, to displace, to touch, to make use of, to stir (emotions), to alter, abbr. for 動詞|动词[dong4 ci2], verb		1
動作	动作	dòngzuò	movement; motion; action (CL:個|个[ge4]), to act; to move		1
都	都	dōu	surname Du; all; both; entirely, (used for emphasis) even, already, (not) at all; capital city, metropolis		1
讀	读	dú	comma, phrase marked by pause; to read out; to read aloud, to read, to attend (school); to study (a subject in school), to pronounce		1
讀書	读书	dúshū	to read a book, to study, to attend school		1
對	对	duì	right; correct, towards; at; for, concerning; regarding, to treat (sb a certain way), to face, (bound form) opposite; facing; matching, to match together; to adjust, to fit; to suit, to answer; to reply, to add; to pour in (a fluid), to check; to compare, classifier: couple; pair		1
對不起	对不起	duìbuqǐ	I'm sorry; excuse me; I beg your pardon, to let (sb) down; to disappoint		1
多	多	duō	many; much; more; a lot of, too many; in excess, (after a numeral) ... odd, how (to what extent) (Taiwan pr. [duo2]), (bound form) multi-; poly-		1
多少	多少	duōshao	number; amount, somewhat; how much?; how many?, (phone number, student ID etc) what number?		1
餓	饿	è	hungry, to starve (sb)		1
兒子	儿子	érzi	son		1
二	二	èr	two, 2, (Beijing dialect) stupid		1
飯	饭	fàn	cooked rice, CL:碗[wan3], meal, CL:頓|顿[dun4], (loanword) fan, devotee		1
飯店	饭店	fàndiàn	restaurant, hotel, CL:家[jia1],個|个[ge4]		1
房間	房间	fángjiān	room, CL:間|间[jian1],個|个[ge4]		1
房子	房子	fángzi	house, building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]		1
放	放	fàng	to put, to place, to release, to free, to let go, to let out, to set off (fireworks)		1
放假	放假	fàngjià	to have a holiday or vacation		1
放學	放学	fàngxué	to dismiss students at the end of the school day		1
飛	飞	fēi	to fly		1
飛機	飞机	fēijī	airplane, CL:架[jia4]		1
非常	非常	fēicháng	very; really, unusual; extraordinary		1
分	分	fēn	to divide; to separate, to distribute; to allocate, to distinguish (good and bad), (bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]), fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money); part, share, ingredient, component		1
風	风	fēng	wind, news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]		1
乾	干	gān	old variant of 乾|干[gan1]; surname Gan; dry, dried food, empty; hollow, taken in to nominal kinship; adoptive; foster, futile; in vain, (dialect) rude; blunt, (dialect) to cold-shoulder		1
乾淨	干净	gānjìng	clean, neat		1
幹	干	gàn	old variant of 乾|干[gan1]; surname Gan; dry, dried food, empty; hollow, taken in to nominal kinship; adoptive; foster, futile; in vain, (dialect) rude; blunt, (dialect) to cold-shoulder		1
幹什麼	干什么	gàn shénme	what are you doing?, what's he up to?		1
高	高	gāo	surname Gao; high, tall, above average, loud, your (honorific)		1
高興	高兴	gāoxìng	happy, glad, willing (to do sth), in a cheerful mood		1
告訴	告诉	gàosu	to press charges; to file a complaint; to tell; to inform; to let know		1
哥哥|哥	哥哥|哥	gēge|gē			1
歌	歌	gē	song (CL:首[shou3],支[zhi1]), (bound form) to sing; variant of 歌[ge1]		1
個	个	gè	used in 自個兒|自个儿[zi4 ge3 r5]; (classifier used before a noun that has no specific classifier), (bound form) individual; variant of 個|个[ge4]		1
給	给	gěi	to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier); to supply, to provide		1
跟	跟	gēn	heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)		1
工人	工人	gōngrén	worker, CL:個|个[ge4],名[ming2]		1
工作	工作	gōngzuò	to work, (of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]		1
關	关	guān	surname Guan; mountain pass, to close; to shut; to turn off, to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc), to concern; to involve		1
關上	关上	guānshang	to close (a door), to turn off (light, electrical equipment etc)		1
貴	贵	guì	abbr. for Guizhou Province 貴州|贵州[Gui4 zhou1]; expensive, (bound form) highly valued; precious, (bound form) noble; of high rank, (prefix) (honorific) your		1
國	国	guó	surname Guo; country; nation; state, (bound form) national		1
國家	国家	guójiā	country; nation; state, CL:個|个[ge4]		1
國外	国外	guó wài	abroad, external (affairs), overseas, foreign		1
過	过	guò	surname Guo; to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-; (experienced action marker)		1
還	还	hái	surname Huan; still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else; to pay back, to return		1
還是	还是	háishi	still (as before), had better, unexpectedly, or		1
還有	还有	hái yǒu	there still remain(s); there is (or are) still, in addition		1
孩子	孩子	háizi	child		1
漢語	汉语	Hànyǔ	Chinese language		1
漢字	汉字	Hànzì	Chinese character(s)		1
好	好	hǎo	good, appropriate; proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close; on intimate terms, (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to		1
好吃	好吃	hǎochī	tasty; delicious; to be fond of eating; to be gluttonous		1
好看	好看	hǎokàn	good-looking; nice-looking, (of a movie, book, TV show etc) good, in an embarrassing situation		1
好聽	好听	hǎotīng	pleasant to hear		1
好玩兒	好玩儿	hǎowánr	erhua variant of 好玩[hao3 wan2]		1
號	号	hào	roar, cry, CL:個|个[ge4]; ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people		1
喝	喝	hē	to drink, variant of 嗬[he1]; to shout		1
和	和	hé	old variant of 和[he2]; surname He; (joining two nouns) and; together with; with (Taiwan pr. [han4]), (math.) sum, to make peace, (sports) to draw; to tie, (bound form) harmonious, (bound form) Japan; Japanese		1
很	很	hěn	very; quite, (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)		1
後	后	hòu	surname Hou; empress, queen, (archaic) monarch, ruler; back, behind, rear, afterwards, after, later, post-		1
後邊	后边	hòubian	the back; the rear; the last bit, behind; near the end; at the back, later; afterwards		1
後天	后天	hòutiān	the day after tomorrow, life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1]), acquired (not innate or congenital), a posteriori		1
花	花	huā	surname Hua; flower, blossom, CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4], fancy pattern, florid, to spend (money, time), (coll.) lecherous, lustful; old variant of 花[hua1]		1
話	话	huà	dialect, language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; old variant of 話|话[hua4]		1
壞	坏	huài	bad, spoiled, broken, to break down, (suffix) to the utmost		1
還	还	huán	surname Huan; still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else; to pay back, to return		1
回	回	huí	to circle, to go back, to turn around, to answer, to return, to revolve, Hui ethnic group (Chinese Muslims), time, classifier for acts of a play, section or chapter (of a classic book); to curve, to return, to revolve; variant of 迴|回[hui2]		1
回答	回答	huídá	to reply; to answer, reply; answer		1
回到	回到	huídào	to return to		1
回家	回家	huí jiā	to return home		1
回來	回来	huílái	to return; to come back		1
回去	回去	huíqù	to return, to go back		1
會	会	huì	can; to have the skill; to know how to, to be likely to; to be sure to, to meet; to get together, meeting; gathering, (suffix) union; group; association, (bound form) a moment (Taiwan pr. [hui3]); (bound form) to reckon accounts		1
火車	火车	huǒchē	train, CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]		1
機場	机场	jīchǎng	airport; airfield, (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship, CL:家[jia1],處|处[chu4]		1
機票	机票	jīpiào	air ticket, passenger ticket, CL:張|张[zhang1]		1
雞蛋	鸡蛋	jīdàn	(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]		1
幾	几	jǐ	small table; almost; how much, how many, several, a few		1
記	记	jì	to record, to note, to memorize, to remember, mark, sign, classifier for blows, kicks, shots		1
記得	记得	jìde	to remember		1
記住	记住	jìzhù	to remember, to bear in mind, to learn by heart		1
家	家	jiā	used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]; home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]		1
家裡	家里	jiā li	home		1
家人	家人	jiārén	family member, (old) servant		1
間	间	jiān	between, among, within a definite time or space, room, section of a room or lateral space between two pairs of pillars, classifier for rooms; gap, to separate, to thin out (seedlings), to sow discontent		1
見	见	jiàn	to see, to meet, to appear (to be sth), to interview, opinion, view; to appear, also written 現|现[xian4]		1
見面	见面	jiànmiàn	to meet; to see each other, CL:次[ci4]		1
教	教	jiāo	surname Jiao; to teach; to instruct; (bound form) to teach; to instruct, a religion, to cause (sb to do sth); to tell (sb to do sth)		1
叫	叫	jiào	to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood); variant of 叫[jiao4]		1
教學樓	教学楼	jiàoxuélóu	school building; academic building		1
姐姐|姐	姐姐|姐	jiějie|jiě			1
介紹	介绍	jièshào	to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction		1
今年	今年	jīnnián	this year		1
今天	今天	jīntiān	today, the present time; now		1
進	进	jìn	to go forward, to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound		1
進來	进来	jìnlái	to come in		1
進去	进去	jìnqù	to go in		1
九	九	jiǔ	nine, 9		1
就	就	jiù	(after a suppositional clause) in that case; then, (after a clause of action) as soon as; immediately after, (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly, only; as little as, as much as; as many as, to approach; to move towards, to undertake; to engage in, (often followed by 著|着[zhe5]) taking advantage of, (of food) to go with, with regard to; concerning, (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ..., (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...		1
覺得	觉得	juéde	to think that ...; to feel that ..., to feel (uncomfortable etc)		1
開	开	kāi	to open (transitive or intransitive), (of ships, vehicles, troops etc) to start, to turn on; to put in operation; to operate; to run, to boil, to write out (a prescription, check, invoice etc), (directional complement) away; off, carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format		1
開車	开车	kāichē	to drive a car		1
開會	开会	kāihuì	to hold a meeting, to attend a meeting		1
開玩笑	开玩笑	kāi wánxiào	to play a joke; to make fun of; to joke		1
看	看	kàn	to look after, to take care of, to watch, to guard; to see; to look at, to read, to watch, to visit; to call on, to consider; to regard as, to look after, to treat (a patient or illness), to depend on, to feel (that), (after a verb) to give it a try, to watch out for		1
看病	看病	kànbìng	to visit a doctor, to see a patient		1
看到	看到	kàndào	to see		1
看見	看见	kànjiàn	to see; to catch sight of		1
考	考	kǎo	to beat, to hit, variant of 考[kao3], to inspect, to test, to take an exam; to check, to verify, to test, to examine, to take an exam, to take an entrance exam for, deceased father		1
考試	考试	kǎoshì	to take an exam, exam, CL:次[ci4]		1
渴	渴	kě	thirsty		1
課	课	kè	subject, course, CL:門|门[men2], class, lesson, CL:堂[tang2],節|节[jie2], to levy, tax, form of divination		1
課本	课本	kèběn	textbook, CL:本[ben3]		1
課文	课文	kèwén	text, CL:篇[pian1]		1
口	口	kǒu	mouth, classifier for things with mouths (people, domestic animals, cannons, wells etc), classifier for bites or mouthfuls		1
塊	块	kuài	lump; chunk; piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units		1
快	快	kuài	rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant		1
來	来	lái	to come, (used as a substitute for a more specific verb), hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]), ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]), for the past (amount of time), (prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4]), (between two verbs) in order to, (after a round number) approximately, (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])		1
來到	来到	láidào	to arrive; to come		1
老	老	lǎo	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity, old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough		1
老人	老人	lǎorén	old man or woman, the elderly, one's aged parents or grandparents		1
老師	老师	lǎoshī	teacher, CL:個|个[ge4],位[wei4]		1
了	了	le	"(completed action marker), (modal particle indicating change of state, situation now), (modal particle intensifying preceding clause); to finish, (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3] ""cannot forget""), (literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least, to understand clearly (variant of 瞭|了[liao3]); (of eyes) bright, clear-sighted, to understand clearly"		1
累	累	lèi	to accumulate, to involve or implicate (Taiwan pr. [lei4]), continuous, repeated; tired, weary, to strain, to wear out, to work hard; rope, to bind together, to twist around		1
冷	冷	lěng	surname Leng; cold		1
裡|裏	里	lǐ	variant of 裡|里[li3]; lining, interior, inside, internal, also written 裏|里[li3]; Li (surname)		1
裡邊	里边	lǐbian	inside		1
兩	两	liǎng	two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)		1
零|〇	零|〇	líng|líng			1
六	六	liù	six, 6; used in place names		1
樓	楼	lóu	surname Lou; house with more than 1 story, storied building, floor, CL:層|层[ceng2],座[zuo4],棟|栋[dong4]		1
樓上	楼上	lóu shàng	upstairs, (Internet slang) previous poster in a forum thread		1
樓下	楼下	lóu xià	downstairs		1
路	路	lù	surname Lu; road (CL:條|条[tiao2]), journey, route, line (bus etc), sort; kind		1
路口	路口	lùkǒu	crossing, intersection (of roads)		1
路上	路上	lùshang	on the road, on the way; en route		1
媽媽|媽	妈妈|妈	māma|mā			1
馬路	马路	mǎlù	street, road, CL:條|条[tiao2]		1
馬上	马上	mǎshàng	at once, right away, immediately, on horseback (i.e. by military force)		1
嗎	吗	ma	"(coll.) what?; used in 嗎啡|吗啡[ma3 fei1]; (question particle for ""yes-no"" questions)"		1
買	买	mǎi	to buy, to purchase		1
慢	慢	màn	slow		1
忙	忙	máng	busy, hurriedly, to hurry, to rush		1
毛	毛	máo	surname Mao; hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])		1
沒	没	méi	(negative prefix for verbs) have not; not; drowned, to end, to die, to inundate		1
沒關係	没关系	méi guānxi	it doesn't matter		1
沒什麼	没什么	méi shénme	it doesn't matter; it's nothing; never mind, think nothing of it; it's my pleasure; you're welcome		1
沒事兒	没事儿	méishìr	to have spare time, free from work, it's not important, it's nothing, never mind		1
沒有	没有	méiyǒu	haven't, hasn't, doesn't exist, to not have, to not be		1
妹妹|妹	妹妹|妹	mèimei|mèi			1
門	门	mén	surname Men; gate, door, CL:扇[shan4], gateway, doorway, CL:個|个[ge4], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate)		1
門口	门口	ménkǒu	doorway, gate, CL:個|个[ge4]		1
門票	门票	ménpiào	ticket (for theater, cinema etc)		1
們（朋友們）	们（朋友们）	men (péngyoumen)			1
米飯	米饭	mǐfàn	(cooked) rice		1
麵包	面包	miànbāo	bread, CL:片[pian4],塊|块[kuai4]		1
麵條兒	面条儿	miàntiáor	erhua variant of 麵條|面条[mian4 tiao2]		1
名字	名字	míngzi	name (of a person or thing), CL:個|个[ge4]		1
明白	明白	míngbai	clear; obvious; unequivocal, sensible; reasonable, to understand; to realize		1
明年	明年	míngnián	next year		1
明天	明天	míngtiān	tomorrow		1
拿	拿	ná	old variant of 拿[na2]; variant of 拿[na2]; to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object)		1
哪	哪	nǎ	"how, which; (emphatic sentence-final particle, used instead of 啊[a5] after a word ending in ""n""); used in 哪吒[Ne2 zha1], Taiwan pr. [nuo2]"		1
哪裡|哪裏	哪里	nǎlǐ	where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment, also written 哪裡|哪里; where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment		1
哪兒	哪儿	nǎr	where?, wherever; anywhere; somewhere, (used in rhetorical questions) how can ...?; how could ...?		1
哪些	哪些	nǎxiē	which ones?, who?, what?		1
那	那	nà	surname Na; surname Nuo; variant of 哪[na3]		1
那邊	那边	nàbiān	over there, yonder		1
那裡|那裏	那里	nàlǐ	there; that place; there; that place		1
那兒	那儿	nàr	there		1
那些	那些	nàxiē	those		1
奶	奶	nǎi	breast, milk, to breastfeed; variant of 嬭|奶[nai3]; mother, variant of 奶[nai3]		1
奶奶	奶奶	nǎinai	(informal) grandma (paternal grandmother), (respectful) mistress of the house, CL:位[wei4], (coll.) boobies, breasts		1
