"value","pinyin","english_definition","hsk_level"
"行","xíng","go, travel, prevail, circulate, be current","1"
"休息","xiūxi","repose, have, lie dormant, respire, take time off, have a rest, take a rest, take off, relax, take_time_off, have/take a rest, rest","1"
"学生","xuésheng","academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student","1"
"学","xué","study, learn, imitate, mimic","1"
"学习","xuéxí","study, learn, emulate","1"
"学校","xuéxiào","seminary, schoolhouse, educational institution, school, institution","1"
"学院","xuéyuàn","seminary, college, school, hall, institute, academy, faculty","1"
"要","yào","want, need, must, should","1"
"爷爷","yéye","grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather","1"
"页","yè","page, leaf, m.[general], ,sheet of paper, sheet, piece, piece of paper, folio","1"
"衣服","yīfu","clothes, wearing apparel, toggery, gear, tog, wear, bib-and-tucker, drapery, thing, dress, duds, vestment, wardrobe, clout, apparel, clothing, dud, wrapping, vesture, clobber, habit, robe, togs, livery, habilimentation, array, hull, garb, attire, attirement, stitch, rig, garment, raiment, wearable, dressing","1"
"也","yě","also, too, as well, either, even","1"
"医生","yīshēng","Galen, MD, physician, Dr., medic, doc, hakeem, medico, Aesculapius, medical man, surgeon, leech, doctor","1"
"医院","yīyuàn","spital, hospital, infirmary, hospice","1"
"一","yī","det.: one","1"
"一会儿","yīhuìr","a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]","1"
"一块儿","yīkuàir","together","1"
"一下儿","yīxiàr","(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once, erhua variant of 一下[yi1 xia4]","1"
"一半","yībàn","det.: one half, in part, half","1"
"一边","yībiān","at the same time, simultaneously;on the one/other hand","1"
"一点儿","yīdiǎnr","det.: a little bit","1"
"一起","yīqǐ","in_chorus, together, in all, in the same place, holus-bolus, altogether, in company","1"
"一些","yīxiē","det.: some, a few, a little","1"
"一样","yīyàng","same, equal, similar","1"
"有的","yǒude","det : some","1"
"有","yǒu","have, possess","1"
"有名","yǒu míng","well-known, famous","1"
"用","yòng","with","1"
"有时候","yǒushíhou","from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while","1"
"有些","yǒuxiē","kind_of, rather, somewhat","1"
"有用","yǒuyòng","belong, profit, count, useful, avail, powerful","1"
"右","yòu","right side as side of precedence, right side, west, winger, right, the right side, the Right, the right","1"
"右边","yòubian","right side, right, to the right","1"
"雨","yǔ","rain","1"
"元","yuán","m.[standard]","1"
"远","yuǎn","far, distant (lit./fig.)","1"
"月","yuè","moon","1"
"再","zài","again, once more, further(more), in a higher degree, and then, not (do sth.) before","1"
"再见","zàijiàn","good-bye, see you again","1"
"在","zài","in, at, on, etc.","1"
"在家","zàijiā","At home","1"
"早","zǎo","early, long ago, in advance, beforehand, prematurely","1"
"早饭","zǎofàn","breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]","1"
"早上","zǎoshang","early morning, CL:個|个[ge4]","1"
"怎么","zěnme","how","1"
"站","zhàn","to stand","1"
"找","zhǎo","look for, seek, call on, approach","1"
"找到","zhǎodào","light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon","1"
"这边","zhèbiān","this side, here","1"
"这","zhè","now, this, det.: this, it","1"
"这里","zhèlǐ","this place, there, here","1"
"这儿","zhèr","now, here","1"
"这些","zhèxiē","det.: these","1"
"着","zhe","[aspect]","1"
"真","zhēn","really, truly, indeed, clearly","1"
"真的","zhēn de","really, truly, indeed","1"
"正","zhèng","precisely, punctually","1"
"正在","zhèngzài","course of, be, be in process","1"
"知道","zhīdao","tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize","1"
"知识","zhīshi","lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment","1"
"中国","Zhōngguó","Cathay, China, china","1"
"中","zhōng","center, middle, interior","1"
"中间","zhōngjiān","center, middle","1"
"中文","Zhōngwén","Chinese, Ch. (written) language, Ch. language, Sinitic","1"
"中午","zhōngwǔ","noon, midday, CL:個|个[ge4]","1"
"中学","zhōngxué","middle_school, grammar_school, secondary school, Ch. learning, middle school, high_school, grammar school","1"
"中学生","zhōngxuéshēng","middle-school student, high school student","1"
"重","zhòng","heavy, weighty, important, considerable in amount/value","1"
"重要","zhòngyào","important, significant, major","1"
"住","zhù","inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig","1"
"准备","zhǔnbèi","prepare, get ready","1"
"桌子","zhuōzi","mahogany, table, desk","1"
"字","zì","graphic symbol, writing, pronunciation (of a word), form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word","1"
"子","zi","son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)","1"
"走","zǒu","scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move","1"
"最","zuì","most, to the highest degree, much, superlatively","1"
"走路","zǒu lù","go away, stroam, go on foot, walk","1"
"最好","zuìhǎo","had better, it would be best","1"
"最后","zuìhòu","final, last, finally, ultimate","1"
"昨天","zuótiān","yesterday","1"
"左边","zuǒbian","left, the left side, to the left of","1"
"左","zuǒ","left side, east, the Left","1"
"坐","zuò","sit, take seat","1"
"坐下","zuòxià","subside, sit, sit down, sink, sit_down","1"
"做","zuò","make, do","1"
