Traditional	Simplified	Pinyin	English	Zhuyin
吃飯	吃饭	chī fàn	feed, dine, make a living, keep alive, have a meal, eat	ㄔ ㄈㄢˋ
出來	出来	chū lai	come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge	ㄔㄨ ㄌㄞ˙
齣	出	chū	produce, turn out, arise, happen	ㄔㄨ
出去	出去	chū qu	go_out, go/get out, get_out, go out, get out, go, exit	ㄔㄨ ㄑㄩ˙
床	床	chuáng	bed	ㄔㄨㄤˊ
次	次	cì	order, sequence, next	ㄘˋ
穿	穿	chuān	to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread	ㄔㄨㄢ
錯	错	cuò	wrong, mistaken, bad, poor, confused, complex	ㄘㄨㄛˋ
從	从	cóng	from, since, through	ㄘㄨㄥˊ
打	打	dǎ	generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix	ㄉㄚˇ
打車	打车	dǎchē	to take a taxi (in town), to hitch a lift	ㄉㄚˇ ㄔㄜ
打電話	打电话	dǎ diànhuà	make telephone call	ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ
打開	打开	dǎ kāi	unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop	ㄉㄚˇ ㄎㄞ
打球	打球	dǎqiú	play a ball game using arms/hands	ㄉㄚˇ ㄑㄧㄡˊ
大學	大学	dàxué	university, college	ㄉㄚˋ ㄒㄩㄝˊ
大	大	dà	great, macro, old, very, vast, tall, big, high, much	ㄉㄚˋ
大學生	大学生	dàxuéshēng	man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks	ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ
得到	得到	dé dào	to get, to obtain, to receive	ㄉㄜˊ ㄉㄠˋ
到	到	dào	up until	ㄉㄠˋ
等	等	děng	conj.: and so on, etc	ㄉㄥˇ
地點	地点	dìdiǎn	location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus	ㄉㄧˋ ㄉㄧㄢˇ
地	地	de	the earth, land, soil, fields, ground, place, position, background, distance	ㄉㄜ˙
地方	地方	dìfang	country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local	ㄉㄧˋ ㄈㄤ˙
地上	地上	dìshang	on the ground, on the floor	ㄉㄧˋ ㄕㄤ˙
的	的	de	particle: emphasizing an action/situation	ㄉㄜ˙
地圖	地图	dìtú	map	ㄉㄧˋ ㄊㄨˊ
弟弟	弟弟	dìdi	brother, little brother, younger brother, cadet, little_brother, viscount	ㄉㄧˋ ㄉㄧ˙
第	第	dì	mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence	ㄉㄧˋ
點	点	diǎn	m.[proximation]	ㄉㄧㄢˇ
電話	电话	diànhuà	blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone	ㄉㄧㄢˋ ㄏㄨㄚˋ
電	电	diàn	electricity	ㄉㄧㄢˋ
電腦	电脑	diànnǎo	electronic computer, computery, data processor, information processing system, computer	ㄉㄧㄢˋ ㄋㄠˇ
電視機	电视机	diànshìjī	set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television	ㄉㄧㄢˋ ㄕˋ ㄐㄧ
電影	电影	diànyǐng	cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker	ㄉㄧㄢˋ ㄧㄥˇ
電視	电视	diànshì	TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly	ㄉㄧㄢˋ ㄕˋ
電影院	电影院	diànyǐng yuàn	cinema, movie (house)	ㄉㄧㄢˋ ㄧㄥˇ ㄩㄢˋ
東邊	东边	dōngbiān	east, east side, eastern part, to the east of	ㄉㄨㄥ ㄅㄧㄢ
東	东	dōng	east	ㄉㄨㄥ
東西	东西	dōngxi	thing, creature	ㄉㄨㄥ ㄒㄧ˙
動	动	dòng	concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move	ㄉㄨㄥˋ
動作	动作	dòngzuò	demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move	ㄉㄨㄥˋ ㄗㄨㄛˋ
讀	读	dú	study, read, attend school, take, read aloud, read (aloud), peruse	ㄉㄨˊ
都	都	dōu	all, even, already	ㄉㄡ
讀書	读书	dú shū	read, study, attend school	ㄉㄨˊ ㄕㄨ
對不起	对不起	duìbuqǐ	be unfair to, I'm sorry, let ... down, let sb. down, excuse me	ㄉㄨㄟˋ ㄅㄨ˙ ㄑㄧˇ
多	多	duō	many, much, more, more than the correct/required number, excessive, too much, much/far more	ㄉㄨㄛ
多少	多少	duōshao	det.: how many, how much, many	ㄉㄨㄛ ㄕㄠ˙
兒子	儿子	érzi	viscount, man-child, boy, male offspring, son	ㄦˊ ㄗ˙
餓	饿	è	starve	ㄜˋ
對	对	duì	correct, true, toward	ㄉㄨㄟˋ
二	二	èr	det.: two, second	ㄦˋ
飯	饭	fàn	food, meal, repast, cooked rice or other cereals, dinner	ㄈㄢˋ
飯店	饭店	fàndiàn	restraurant, restaurant, hotel	ㄈㄢˋ ㄉㄧㄢˋ
房間	房间	fángjiān	apartment, aspect, houseroom, room, chamber, bedroom	ㄈㄤˊ ㄐㄧㄢ
房子	房子	fángzi	building (of less than three stories), room, building, property, house	ㄈㄤˊ ㄗ˙
放	放	fàng	loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus	ㄈㄤˋ
放假	放假	fàng jià	have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation	ㄈㄤˋ ㄐㄧㄚˋ
飛	飞	fēi	hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit	ㄈㄟ
放學	放学	fàng xué	have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)	ㄈㄤˋ ㄒㄩㄝˊ
飛機	飞机	fēijī	aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft	ㄈㄟ ㄐㄧ
非常	非常	fēicháng	extraordinary, unusual, special, very, extremely, highly	ㄈㄟ ㄔㄤˊ
分	分	fēn	m.[general]	ㄈㄣ
風	风	fēng	wind, common practice, custom, general mood, style, news, information	ㄈㄥ
幹	干	gàn	do, work, fight	ㄍㄢˋ
乾淨	干净	gānjìng	clean, clear	ㄍㄢ ㄐㄧㄥˋ
高興	高兴	gāoxìng	glad, happy, cheerful, merry, pleased	ㄍㄠ ㄒㄧㄥˋ
高	高	gāo	tall, high	ㄍㄠ
告訴	告诉	gàosu	tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know	ㄍㄠˋ ㄙㄨ˙
哥哥	哥哥	gēge	big brother, elder brother, big_brother	ㄍㄜ ㄍㄜ˙
歌	歌	gē	song	ㄍㄜ
幹什麼	干什么	gànshénme	do something	ㄍㄢˋ ㄕㄣˊ ㄇㄜ˙
個	个	gè	piece, item	ㄍㄜˋ
給	给	gěi	give, give to	ㄍㄟˇ
跟	跟	gēn	with, to, from	ㄍㄣ
工人	工人	gōngren	navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand	ㄍㄨㄥ ㄖㄣ˙
工作	工作	gōngzuò	work, job	ㄍㄨㄥ ㄗㄨㄛˋ
關	关	guān	shut, close, turn off, lock up, close down	ㄍㄨㄢ
關上	关上	guānshàng	to close (a door), to turn off (light, electrical equipment etc)	ㄍㄨㄢ ㄕㄤˋ
國	国	guó	surname Guo, country, nation, state, national, CL:個|个[ge4]	ㄍㄨㄛˊ
國家	国家	guójiā	sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica	ㄍㄨㄛˊ ㄐㄧㄚ
貴	贵	guì	expensive, costly, highly valued	ㄍㄨㄟˋ
國外	国外	guówài	overseas	ㄍㄨㄛˊ ㄨㄞˋ
還是	还是	háishi	still, nevertheless	ㄏㄞˊ ㄕ˙
孩子	孩子	háizi	kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son	ㄏㄞˊ ㄗ˙
還有	还有	háiyǒu	conj.: furthermore, in addition	ㄏㄞˊ ㄧㄡˇ
過	过	guò	[aspect]	ㄍㄨㄛˋ
漢語	汉语	Hànyǔ	Chinese language, CL:門|门[men2]	ㄏㄢˋ ㄩˇ
還	还	hái	still, yet, also, too, as well, besides	ㄏㄞˊ
漢字	汉字	Hànzì	Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự	ㄏㄢˋ ㄗˋ
好	好	hǎo	good	ㄏㄠˇ
好吃	好吃	hǎochī	delicious, good to eat, tasty, enjoy eating good food, gluttonous	ㄏㄠˇ ㄔ
好看	好看	hǎokàn	embarrassed, interesting, nice, good-looking, delightful	ㄏㄠˇ ㄎㄢˋ
好聽	好听	hǎotīng	pleasant to hear	ㄏㄠˇ ㄊㄧㄥ
好玩兒	好玩儿	hǎowánr	interesting, delightful, amusing	ㄏㄠˇ ㄨㄢˊ ㄦ˙
號	号	hào	m.[general]	ㄏㄠˋ
喝	喝	hē	drink	ㄏㄜ
和	和	hé	and, with, gentle, peaceful	ㄏㄜˊ
很	很	hěn	pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly	ㄏㄣˇ
後	后	hòu	rear, back, behind	ㄏㄡˋ
後邊	后边	hòubian	back, rear, behind	ㄏㄡˋ ㄅㄧㄢ˙
話	话	huà	words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word	ㄏㄨㄚˋ
後天	后天	hòutiān	the day after tomorrow, post-natal, acquired (not innate), a posteriori	ㄏㄡˋ ㄊㄧㄢ
壞	坏	huài	spoiled	ㄏㄨㄞˋ
回答	回答	huídá	answer, reply	ㄏㄨㄟˊ ㄉㄚˊ
回	回	huí	return, go back	ㄏㄨㄟˊ
花	花	huā	spend, expend, cost	ㄏㄨㄚ
回到	回到	huídào	remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to	ㄏㄨㄟˊ ㄉㄠˋ
回家	回家	huí jiā	return home	ㄏㄨㄟˊ ㄐㄧㄚ
回去	回去	huí  qu	go_home, go_back, retrocede, go back, be back, go, return	ㄏㄨㄟˊ ㄑㄩ˙
回來	回来	huí lai	come back, get_back, recur, revisit, come, return, be back, come_back	ㄏㄨㄟˊ ㄌㄞ˙
會	会	huì	to be able, can, will, to meet	ㄏㄨㄟˋ
火車	火车	huǒchē	choo-choo, railroad train, car train, marshalling_yard, puff-puff, train	ㄏㄨㄛˇ ㄔㄜ
機場	机场	jīchǎng	landing field, flying field, airfield, airport, airdrome, field, aerodrome	ㄐㄧ ㄔㄤˇ
雞蛋	鸡蛋	jīdàn	(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]	ㄐㄧ ㄉㄢˋ
機票	机票	jīpiào	air ticket, passenger ticket, CL:張|张[zhang1]	ㄐㄧ ㄆㄧㄠˋ
幾	几	jǐ	det.: how many, a few, several, some	ㄐㄧˇ
記得	记得	jì de	come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind	ㄐㄧˋ ㄉㄜ˙
記住	记住	jì zhu	to remember, to bear in mind, to learn by heart	ㄐㄧˋ ㄓㄨ˙
家	家	jiā	family, household, home, house	ㄐㄧㄚ
記	记	jì	write down, record	ㄐㄧˋ
家裡	家里	jiālǐ	home	ㄐㄧㄚ ㄌㄧˇ
見面	见面	jiàn miàn	meet, see	ㄐㄧㄢˋ ㄇㄧㄢˋ
教	教	jiào	teach	ㄐㄧㄠˋ
家人	家人	jiārén	relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house	ㄐㄧㄚ ㄖㄣˊ
間	间	jiān	locality, room	ㄐㄧㄢ
見	见	jiàn	see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet	ㄐㄧㄢˋ
叫	叫	jiào	to be called	ㄐㄧㄠˋ
教學樓	教学楼	jiàoxuélóu	teaching block, school building	ㄐㄧㄠˋ ㄒㄩㄝˊ ㄌㄡˊ
介紹	介绍	jièshào	introduce, present, recommend, suggest, let know, brief	ㄐㄧㄝˋ ㄕㄠˋ
今年	今年	jīnnián	this year	ㄐㄧㄣ ㄋㄧㄢˊ
姐姐	姐姐	jiějie	sis, big_sister, elder sister, sister	ㄐㄧㄝˇ ㄐㄧㄝ˙
今天	今天	jīntiān	today, at the present, now	ㄐㄧㄣ ㄊㄧㄢ
進	进	jìn	enter, come/go into, advance	ㄐㄧㄣˋ
進來	进来	jìn lai	come in, enter	ㄐㄧㄣˋ ㄌㄞ˙
進去	进去	jìn qu	enter, entry, go_in, get in, go in	ㄐㄧㄣˋ ㄑㄩ˙
就	就	jiù	then, at once, right away, an indicator strengthening speaker's evaluation	ㄐㄧㄡˋ
覺得	觉得	juéde	imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive	ㄐㄩㄝˊ ㄉㄜ˙
九	九	jiǔ	det.: nine	ㄐㄧㄡˇ
開	开	kāi	open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal	ㄎㄞ
開車	开车	kāi chē	to drive a car	ㄎㄞ ㄔㄜ
開會	开会	kāi huì	hold/attend meeting	ㄎㄞ ㄏㄨㄟˋ
開玩笑	开玩笑	kāi wánxiào	kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke	ㄎㄞ ㄨㄢˊ ㄒㄧㄠˋ
看	看	kàn	see, look at, watch, read, look upon, regard, look after, call on, visit	ㄎㄢˋ
看病	看病	kàn bìng	to visit a doctor, to see a patient	ㄎㄢˋ ㄅㄧㄥˋ
看到	看到	kàn dào	view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of	ㄎㄢˋ ㄉㄠˋ
考	考	kǎo	study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check	ㄎㄠˇ
看見	看见	kàn jian	seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of	ㄎㄢˋ ㄐㄧㄢ˙
考試	考试	kǎoshì	examination, test	ㄎㄠˇ ㄕˋ
渴	渴	kě	thirsty	ㄎㄜˇ
課	课	kè	subject, course, class	ㄎㄜˋ
課本	课本	kèběn	text edition, textbook, text, school text, schoolbook	ㄎㄜˋ ㄅㄣˇ
課文	课文	kèwén	text, CL:篇[pian1]	ㄎㄜˋ ㄨㄣˊ
口	口	kǒu	m.[general]	ㄎㄡˇ
塊	块	kuài	m.[general]	ㄎㄨㄞˋ
快	快	kuài	fast, quick, quick-witted, ingenious, sharp (of knives), straightforward	ㄎㄨㄞˋ
來	来	lái	to	ㄌㄞˊ
來到	来到	láidào	arrive, come	ㄌㄞˊ ㄉㄠˋ
老	老	lǎo	old, aged;of long standing, outdated, tough, overgrown, dark (of colors)	ㄌㄠˇ
老人	老人	lǎoren	oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents	ㄌㄠˇ ㄖㄣ˙
老師	老师	lǎoshī	rabbi, professor, swami, instructor, teacher, mast	ㄌㄠˇ ㄕ
了	了	le	entirely	ㄌㄜ˙
累	累	lèi	tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out	ㄌㄟˋ
冷	冷	lěng	cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange	ㄌㄥˇ
裏	里	lǐ	inside	ㄌㄧˇ
裡邊	里边	lǐbian	inside	ㄌㄧˇ ㄅㄧㄢ˙
兩	两	liǎng	det.: two, both (sides), either (side), a few, some	ㄌㄧㄤˇ
零	零	líng	det.: zero, naught, nil	ㄌㄧㄥˊ
六	六	liù	det.: six	ㄌㄧㄡˋ
樓	楼	lóu	storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building	ㄌㄡˊ
樓上	楼上	lóushàng	upstairs	ㄌㄡˊ ㄕㄤˋ
樓下	楼下	lóuxià	downstairs	ㄌㄡˊ ㄒㄧㄚˋ
路口	路口	lùkǒu	crossing, intersection (of roads)	ㄌㄨˋ ㄎㄡˇ
路上	路上	lùshang	on the road, on a journey, road surface	ㄌㄨˋ ㄕㄤ˙
媽媽	妈妈	māma	mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma	ㄇㄚ ㄇㄚ˙
馬路	马路	mǎlù	drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic	ㄇㄚˇ ㄌㄨˋ
路	路	lù	road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class	ㄌㄨˋ
馬上	马上	mǎshàng	in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f	ㄇㄚˇ ㄕㄤˋ
買	买	mǎi	pick up, invest, hire, buy, purchase, put_down, trade, get	ㄇㄞˇ
嗎	吗	ma	particle: calling for agreement or disagreement	ㄇㄚ˙
慢	慢	màn	tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate	ㄇㄢˋ
忙	忙	máng	hurry, hasten	ㄇㄤˊ
毛	毛	máo	Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking	ㄇㄠˊ
沒	没	méi	not	ㄇㄟˊ
沒關係	没关系	méiguānxi	it doesn't matter, never mind	ㄇㄟˊ ㄍㄨㄢ ㄒㄧ˙
沒什麼	没什么	méishénme	nothing, it doesn't matter, it's nothing, never mind	ㄇㄟˊ ㄕㄣˊ ㄇㄜ˙
沒有	没有	méiyou	not have, there is not, be without	ㄇㄟˊ ㄧㄡ˙
沒事兒	没事儿	méishìr	to have spare time, free from work, it's not important, it's nothing, never mind	ㄇㄟˊ ㄕˋ ㄦ˙
妹妹	妹妹	mèimei	little_sister, sis, younger sister, little sister, sister	ㄇㄟˋ ㄇㄟ˙
門	门	mén	door, gate	ㄇㄣˊ
門口	门口	ménkǒu	porch, portal, doorway, gateway, threshold, room access, door, entering, entrance	ㄇㄣˊ ㄎㄡˇ
門票	门票	ménpiào	entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance	ㄇㄣˊ ㄆㄧㄠˋ
米飯	米饭	mǐfàn	(cooked) rice	ㄇㄧˇ ㄈㄢˋ
們	们	men	pluralizer after pronouns and nouns of persons	ㄇㄣ˙
麵包	面包	miànbāo	bun, staff of life, cookie, breadstuff, bread	ㄇㄧㄢˋ ㄅㄠ
麵條兒	面条儿	miàntiáor	noodles, erhua variant of 麵條|面条[mian4 tiao2]	ㄇㄧㄢˋ ㄊㄧㄠˊ ㄦ˙
名字	名字	míngzi	first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation	ㄇㄧㄥˊ ㄗ˙
明白	明白	míngbai	clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization	ㄇㄧㄥˊ ㄅㄞ˙
明年	明年	míngnián	next year	ㄇㄧㄥˊ ㄋㄧㄢˊ
明天	明天	míngtiān	tomorrow	ㄇㄧㄥˊ ㄊㄧㄢ
哪	哪	nǎ	det.: which	ㄋㄚˇ
哪裡	哪里	nǎli	where	ㄋㄚˇ ㄌㄧ˙
哪兒	哪儿	nǎr	where	ㄋㄚˇ ㄦ˙
哪些	哪些	nǎxiē	det.: which	ㄋㄚˇ ㄒㄧㄝ
拿	拿	ná	take, hold, seize, capture	ㄋㄚˊ
那邊	那边	nàbian	beyond, that side, there	ㄋㄚˋ ㄅㄧㄢ˙
那	那	nà	det.: that	ㄋㄚˋ
那裡	那里	nàlǐ	that place	ㄋㄚˋ ㄌㄧˇ
那些	那些	nàxiē	det.: those	ㄋㄚˋ ㄒㄧㄝ
奶	奶	nǎi	breasts, milk	ㄋㄞˇ
那兒	那儿	nàr	that place	ㄋㄚˋ ㄦ˙
奶奶	奶奶	nǎinai	nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother	ㄋㄞˇ ㄋㄞ˙
男孩兒	男孩儿	nánháir	boy, erhua variant of 男孩[nan2 hai2]	ㄋㄢˊ ㄏㄞˊ ㄦ˙
男朋友	男朋友	nánpéngyou	boyfriend	ㄋㄢˊ ㄆㄥˊ ㄧㄡ˙
男	男	nán	baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son	ㄋㄢˊ
男生	男生	nánshēng	brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student	ㄋㄢˊ ㄕㄥ
南	南	nán	Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern	ㄋㄢˊ
男人	男人	nánren	male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella	ㄋㄢˊ ㄖㄣ˙
南邊	南边	nánbian	south, south side, southern part, to the south of	ㄋㄢˊ ㄅㄧㄢ˙
呢	呢	ne	particle: marking quesitons about subject already mentioned; indicating strong affirmation	ㄋㄜ˙
難	难	nán	make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame	ㄋㄢˊ
你	你	nǐ	you	ㄋㄧˇ
能	能	néng	can or to be capable of	ㄋㄥˊ
你們	你们	nǐmen	you, you (plural), you-all	ㄋㄧˇ ㄇㄣ˙
您	您	nín	you	ㄋㄧㄣˊ
牛奶	牛奶	niúnǎi	cow's milk	ㄋㄧㄡˊ ㄋㄞˇ
女	女	nǚ	girl, female, woman, neodymium, hen, daughter, beaver, creature	ㄋㄩˇ
年	年	nián	year	ㄋㄧㄢˊ
女孩兒	女孩儿	nǚháir	girl, erhua variant of 女孩[nu:3 hai2]	ㄋㄩˇ ㄏㄞˊ ㄦ˙
女兒	女儿	nǚér	daughter, girl	ㄋㄩˇ ㄦˊ
女生	女生	nǚshēng	schoolgirl, girl student, female student, female, girl, woman student, co-ed	ㄋㄩˇ ㄕㄥ
